name,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status,Software,Mobile,Curated Web,Biotechnology,Advertising,E-Commerce,Enterprise Software,Social Media,Games,Health Care,Analytics,Finance,Internet,Security,Hardware + Software,SaaS,Technology,Web Hosting,Semiconductors,Video,Clean Technology,Networking,Health and Wellness,Social Network Media,Search,Apps,Cloud Computing,Services,Web,Messaging,Education,Sales and Marketing,Music,News,Travel,Web Development,iPhone,Fashion,Entertainment,Media,Manufacturing,Android,age_at_first_funding,age_at_last_funding
Yoox Group,5800000,USA,NY,2000-01-01,4,2000-01-01,2005-09-01,ipo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
YoQueVos,25000,ARG,7,2008-10-01,1,2011-09-01,2011-09-01,closed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Yostro,38880,CAN,ON,2010-10-01,1,2010-10-20,2010-10-20,acquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YottaYotta,40648791,CAN,AB,2000-01-01,2,2000-08-29,2004-03-01,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
YouCastr,500000,USA,MA,2007-06-04,1,2008-02-01,2008-02-01,closed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouHelp,-,AUT,9,2010-01-01,1,2010-01-01,2010-01-01,closed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Youlicit,-,USA,NY,2006-09-01,1,2008-01-01,2008-01-01,closed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YouLike,310000,TUR,34,2012-04-01,1,2012-04-01,2012-04-01,closed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Young Innovations,-,USA,MO,1995-01-01,1,2013-03-03,2013-03-03,ipo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18
YourDOST,400000,IND,19,2014-12-15,1,2015-11-04,2015-11-04,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your Survival,425000,USA,CT,2006-10-01,1,2008-11-10,2008-11-10,closed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
YourTeamOnline,43179,CAN,NL,2007-01-21,1,2007-03-25,2007-03-25,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouScan,-,RUS,48,2009-11-01,1,2010-02-01,2010-02-01,acquired,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youshipped.com,40968,IRL,7,2012-07-09,1,2013-12-06,2013-12-06,closed,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YouTube,11500000,USA,CA,2005-02-01,2,2005-11-01,2006-04-01,acquired,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yub,12000000,USA,CA,2013-01-01,1,2013-11-19,2013-11-19,acquired,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YuMe,75816240,USA,CA,2004-01-01,9,2006-08-01,2012-05-23,ipo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
Yunait,2894000,ESP,29,2009-10-20,1,2011-04-12,2011-04-12,acquired,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yuntaa,1472100,BEL,12,2006-08-01,1,2008-01-01,2008-01-01,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YUPIQ,-,CAN,BC,2011-03-01,1,2011-08-26,2011-08-26,closed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yurbuds,10158510,USA,MO,2009-01-01,4,2010-05-03,2013-08-01,acquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
"YY, Inc.",-,CHN,30,2005-04-01,3,2008-08-19,2012-11-21,ipo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Zabu Studio,950000,USA,CA,2010-01-01,1,2010-12-28,2010-12-28,acquired,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zacharon Pharmaceuticals,533000,USA,CA,2004-01-01,2,2010-06-24,2012-04-04,acquired,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Zackfire.com,6000,PAK,8,2010-07-28,1,2011-02-02,2011-02-02,closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
